Raw Material Name,Supplier,Location,Price Per Unit (LKR),Delivery Options,Quality Rating,Contact Number
Beli,Fresh Picks,Ratnapura,439.02,Pickup,A,+94791560999
Beli,Farm Direct,Anuradhapura,149.81,Pickup,A,+94703374943
Beli,Sunripe Fruits,Jaffna,452.4,Pickup,B,+94737443330
Beli,Tropical Harvest Co.,Jaffna,374.74,Courier,A,+94729246364
Beli,Exotic Fruits Lanka,Kandy,429.16,Courier,C,+94722601833
Watermelon,Jaffna Agro Products,Galle,356.78,Delivery,B,+94768099820
Rambutan,Organic Lanka,Badulla,485.04,Pickup,B,+94781793299
Ambarella,Eastern Produce Co.,Colombo,251.64,Courier,B,+94763162113
Avocado,Jaffna Agro Products,Kandy,420.56,Delivery,A,+94772022378
Mango,Harvest Moon,Galle,399.09,Courier,A,+94700447593
Mango,Nature's Bounty,Colombo,466.84,Courier,C,+94799680577
Peach,Eastern Produce Co.,Matara,212.39,Courier,B,+94750910085
Peach,Jaffna Agro Products,Kandy,401.99,Pickup,A,+94780251416
Kiwi,Fresh Picks,Negombo,414.27,Delivery,B,+94704316383
Coconut,Golden Mango Traders,Galle,58.1,Delivery,A,+94786645954
Coconut,Eastern Produce Co.,Galle,431.96,Courier,A,+94706670705
Kiwi,Royal Fruit Exports,Kurunegala,246.03,Delivery,A,+94749668546
Coconut,Sunripe Fruits,Jaffna,111.57,Courier,C,+94791190578
Coconut,Island Fresh Produce,Anuradhapura,471.78,Pickup,A,+94748756469
Pear,Harvest Moon,Trincomalee,418.0,Pickup,B,+94798622195
Rambutan,Southern Fruits & Veggies,Kandy,268.52,Pickup,B,+94706898877
Peach,Harvest Moon,Batticaloa,373.63,Pickup,A,+94717787572
Mangosteen,Organic Lanka,Badulla,275.06,Delivery,C,+94711078837
Pear,Golden Mango Traders,Puttalam,343.56,Delivery,C,+94700248962
Pineapple,Sunripe Fruits,Puttalam,168.26,Delivery,A,+94793620398
Pineapple,Fresh Picks,Badulla,443.12,Delivery,C,+94731453924
Coconut,Green Valley Orchards,Anuradhapura,415.65,Delivery,A,+94717327537
Coconut,Eastern Produce Co.,Kurunegala,186.86,Delivery,B,+94795822760
Coconut,Tropical Harvest Co.,Batticaloa,450.45,Pickup,C,+94769075961
Jackfruit,Sunripe Fruits,Jaffna,497.75,Courier,A,+94759537770
Avocado,Sunripe Fruits,Galle,180.6,Delivery,C,+94793441706
Avocado,Coconut Grove Farms,Matara,210.49,Courier,A,+94789517121
Avocado,Royal Fruit Exports,Jaffna,191.7,Delivery,C,+94717867223
Soursop,Fresh Picks,Batticaloa,155.3,Pickup,C,+94772875758
Soursop,Sunripe Fruits,Kurunegala,487.34,Courier,A,+94704764581
Orange,Ceylon Fruit Suppliers,Jaffna,437.46,Delivery,B,+94766194245
Avocado,Organic Lanka,Negombo,330.58,Delivery,A,+94752954193
Avocado,Golden Mango Traders,Puttalam,104.04,Delivery,A,+94719486617
Avocado,Harvest Moon,Jaffna,357.68,Delivery,C,+94787400862
Lychee,Ceylon Fruit Suppliers,Jaffna,92.04,Courier,B,+94796410984
Lychee,Hill Country Harvest,Jaffna,340.23,Pickup,B,+94703175894
Guava,Kandyan Fruits Ltd.,Batticaloa,77.96,Delivery,A,+94787218034
Guava,Green Valley Orchards,Jaffna,287.53,Pickup,A,+94743376607
Rambutan,Tropical Harvest Co.,Kandy,373.63,Delivery,C,+94792115962
Apple,Ceylon Fruit Suppliers,Batticaloa,321.32,Pickup,B,+94736604390
Apple,Tropical Harvest Co.,Negombo,289.68,Pickup,B,+94782113699
Watermelon,Eastern Produce Co.,Colombo,373.95,Delivery,C,+94700823386
Peach,Organic Lanka,Matara,102.09,Pickup,A,+94783237210
Peach,Hill Country Harvest,Galle,114.88,Courier,C,+94764129564
Rambutan,Nature's Bounty,Kurunegala,242.63,Pickup,C,+94723153851
Rambutan,Ceylon Fruit Suppliers,Trincomalee,300.44,Courier,C,+94744082543
Rambutan,Kandyan Fruits Ltd.,Jaffna,229.2,Courier,C,+94724589870
Coconut,Harvest Moon,Matara,265.77,Delivery,B,+94717114396
Woodapple,Tropical Harvest Co.,Anuradhapura,240.09,Delivery,B,+94744893617
Strawberry,Spice Garden Exports,Trincomalee,54.91,Pickup,C,+94738331772
Ambarella,Island Fresh Produce,Batticaloa,451.22,Courier,C,+94738634067
Ambarella,Kandyan Fruits Ltd.,Trincomalee,378.18,Pickup,B,+94722685654
Papaya,Island Fresh Produce,Colombo,461.01,Courier,B,+94725404799
Papaya,Kandyan Fruits Ltd.,Jaffna,283.05,Delivery,A,+94787137422
Avocado,Ceylon Fruit Suppliers,Ratnapura,448.34,Courier,B,+94786181936
Rambutan,Ceylon Fruit Suppliers,Ratnapura,353.56,Delivery,A,+94773342034
Rambutan,Exotic Fruits Lanka,Negombo,462.58,Pickup,A,+94774290221
Rambutan,Harvest Moon,Kurunegala,154.94,Courier,A,+94728131451
Mangosteen,Eastern Produce Co.,Ratnapura,470.65,Delivery,B,+94756918511
Banana,Eastern Produce Co.,Badulla,368.82,Delivery,C,+94788969948
Banana,Organic Lanka,Kurunegala,235.91,Pickup,C,+94717630131
Banana,Golden Mango Traders,Batticaloa,142.41,Courier,B,+94705375210
Strawberry,Island Fresh Produce,Badulla,256.82,Courier,B,+94734756627
Durian,Royal Fruit Exports,Kandy,438.19,Delivery,C,+94738882414
Durian,Eastern Produce Co.,Kandy,103.37,Courier,C,+94737339448
Mango,Ceylon Fruit Suppliers,Kurunegala,324.58,Pickup,A,+94774774582
Mango,Island Fresh Produce,Badulla,377.56,Courier,B,+94742941517
Pineapple,Organic Lanka,Puttalam,66.02,Delivery,C,+94705042895
Lemon,Nature's Bounty,Badulla,454.17,Delivery,C,+94754330197
Lemon,Ceylon Fruit Suppliers,Colombo,408.45,Courier,B,+94702614030
Plum,Kandyan Fruits Ltd.,Kandy,71.17,Delivery,A,+94723403999
Plum,Hill Country Harvest,Batticaloa,143.64,Pickup,C,+94790709908
Plum,Spice Garden Exports,Kandy,66.07,Delivery,A,+94759886211
Watermelon,Hill Country Harvest,Puttalam,199.8,Pickup,A,+94766143233
Watermelon,Tropical Harvest Co.,Kandy,127.2,Pickup,B,+94745410381
Strawberry,Royal Fruit Exports,Negombo,310.63,Pickup,A,+94705832523
Strawberry,Southern Fruits & Veggies,Anuradhapura,303.72,Courier,A,+94796729240
Strawberry,Exotic Fruits Lanka,Ratnapura,335.81,Courier,C,+94757854660
Orange,Exotic Fruits Lanka,Jaffna,295.35,Pickup,C,+94790319894
Orange,Golden Mango Traders,Kurunegala,421.06,Courier,A,+94770421618
Peach,Spice Garden Exports,Colombo,265.49,Delivery,A,+94740212363
Jackfruit,Kandyan Fruits Ltd.,Negombo,137.15,Delivery,A,+94750230548
Pomegranate,Fresh Picks,Puttalam,372.12,Courier,A,+94792939300
Pomegranate,Hill Country Harvest,Kurunegala,91.31,Pickup,C,+94740086497
Pomegranate,Green Valley Orchards,Badulla,300.26,Courier,C,+94755512140
Ambarella,Island Fresh Produce,Kurunegala,408.95,Courier,A,+94782708923
Ambarella,Fresh Picks,Ratnapura,150.01,Pickup,A,+94761590467
Coconut,Island Fresh Produce,Anuradhapura,231.77,Courier,A,+94777071320
Coconut,Southern Fruits & Veggies,Trincomalee,124.51,Pickup,A,+94780040558
Coconut,Organic Lanka,Puttalam,342.65,Pickup,B,+94749193555
Beli,Green Valley Orchards,Kandy,499.38,Pickup,A,+94789332995
Beli,Eastern Produce Co.,Ratnapura,259.12,Courier,A,+94714653327
Orange,Hill Country Harvest,Ratnapura,271.86,Delivery,A,+94754632145
Woodapple,Island Fresh Produce,Anuradhapura,490.21,Courier,C,+94769798771
Woodapple,Nature's Bounty,Ratnapura,390.89,Courier,C,+94767759873
Papaya,Jaffna Agro Products,Jaffna,395.69,Pickup,A,+94786631780
Papaya,Southern Fruits & Veggies,Anuradhapura,242.19,Courier,C,+94763598983
Guava,Farm Direct,Kandy,280.21,Pickup,C,+94708096603
Guava,Ceylon Fruit Suppliers,Trincomalee,432.13,Pickup,C,+94743996714
Rambutan,Spice Garden Exports,Colombo,278.6,Pickup,A,+94797019901
Rambutan,Eastern Produce Co.,Badulla,50.94,Courier,B,+94721886922
Rambutan,Island Fresh Produce,Trincomalee,158.43,Delivery,B,+94746603565
Orange,Harvest Moon,Badulla,65.57,Pickup,B,+94766718566
Orange,Coconut Grove Farms,Puttalam,215.5,Courier,C,+94712174626
Beli,Tropical Harvest Co.,Trincomalee,381.85,Courier,A,+94736986414
Beli,Farm Direct,Anuradhapura,209.96,Delivery,B,+94795554063
Grapes,Eastern Produce Co.,Puttalam,135.11,Courier,A,+94758111080
Grapes,Island Fresh Produce,Jaffna,323.65,Delivery,C,+94774237856
Grapes,Hill Country Harvest,Ratnapura,387.15,Delivery,C,+94778936454
Apple,Harvest Moon,Matara,429.8,Pickup,C,+94789796470
Apple,Royal Fruit Exports,Matara,434.26,Pickup,C,+94739551677
Lychee,Royal Fruit Exports,Colombo,418.14,Delivery,C,+94775461768
Lychee,Organic Lanka,Colombo,179.88,Courier,B,+94787739567
Lychee,Hill Country Harvest,Anuradhapura,452.64,Courier,C,+94799934970
Ambarella,Nature's Bounty,Anuradhapura,363.3,Pickup,C,+94709327618
Ambarella,Kandyan Fruits Ltd.,Ratnapura,261.4,Courier,A,+94767731400
Ambarella,Ceylon Fruit Suppliers,Galle,115.01,Delivery,B,+94710425649
Custard Apple,Royal Fruit Exports,Negombo,264.27,Pickup,A,+94778081317
Custard Apple,Green Valley Orchards,Kandy,290.5,Delivery,B,+94743791167
Kiwi,Kandyan Fruits Ltd.,Colombo,368.09,Pickup,A,+94728632754
Kiwi,Hill Country Harvest,Badulla,335.46,Courier,C,+94713541495
Kiwi,Green Valley Orchards,Puttalam,357.98,Pickup,C,+94772807773
Blueberry,Exotic Fruits Lanka,Badulla,212.46,Courier,B,+94767900915
Blueberry,Coconut Grove Farms,Puttalam,170.28,Courier,B,+94727741274
Apple,Harvest Moon,Galle,483.69,Courier,A,+94741097828
Apple,Tropical Harvest Co.,Puttalam,448.11,Courier,C,+94737926550
Apple,Coconut Grove Farms,Colombo,67.21,Courier,B,+94747994040
Watermelon,Green Valley Orchards,Kandy,341.05,Courier,B,+94792827710
Watermelon,Tropical Harvest Co.,Negombo,166.05,Delivery,B,+94729401458
Pear,Spice Garden Exports,Ratnapura,73.29,Pickup,A,+94777371865
Pear,Coconut Grove Farms,Trincomalee,299.22,Pickup,A,+94758700626
Pear,Royal Fruit Exports,Ratnapura,393.53,Courier,A,+94703798126
Coconut,Coconut Grove Farms,Puttalam,253.97,Delivery,C,+94747539503
Guava,Fresh Picks,Anuradhapura,272.02,Pickup,C,+94719893532
Guava,Tropical Harvest Co.,Galle,364.31,Pickup,B,+94782371377
Guava,Green Valley Orchards,Kandy,251.93,Delivery,B,+94785429044
Orange,Sunripe Fruits,Puttalam,165.52,Pickup,A,+94782724092
Orange,Eastern Produce Co.,Trincomalee,407.79,Delivery,A,+94743418470
Orange,Hill Country Harvest,Ratnapura,244.48,Delivery,A,+94747780534
Rambutan,Fresh Picks,Negombo,498.7,Delivery,A,+94735177348
Rambutan,Exotic Fruits Lanka,Jaffna,361.31,Pickup,A,+94736683250
Beli,Farm Direct,Galle,468.32,Delivery,B,+94734548164
Papaya,Organic Lanka,Batticaloa,188.49,Pickup,C,+94785045242
Papaya,Southern Fruits & Veggies,Trincomalee,235.85,Pickup,B,+94700432280
Avocado,Southern Fruits & Veggies,Trincomalee,239.72,Courier,B,+94795454329
Avocado,Eastern Produce Co.,Batticaloa,154.57,Pickup,B,+94726099817
Guava,Coconut Grove Farms,Jaffna,394.64,Courier,B,+94769445828
Guava,Ceylon Fruit Suppliers,Puttalam,173.06,Courier,C,+94727842140
Plum,Golden Mango Traders,Matara,380.39,Delivery,C,+94744245624
Plum,Tropical Harvest Co.,Kandy,294.05,Pickup,B,+94799512557
Pineapple,Harvest Moon,Colombo,215.98,Pickup,C,+94791001888
Pineapple,Tropical Harvest Co.,Batticaloa,109.91,Delivery,A,+94753770098
Plum,Kandyan Fruits Ltd.,Puttalam,163.73,Pickup,C,+94706883291
Plum,Golden Mango Traders,Kandy,110.47,Delivery,A,+94722974980
Apple,Jaffna Agro Products,Batticaloa,57.85,Courier,B,+94709379683
Apple,Island Fresh Produce,Anuradhapura,217.63,Pickup,A,+94795484835
Pear,Island Fresh Produce,Kurunegala,232.45,Courier,A,+94758832346
Strawberry,Eastern Produce Co.,Jaffna,53.77,Courier,B,+94797540836
Pear,Coconut Grove Farms,Anuradhapura,393.58,Delivery,A,+94708795863
Woodapple,Harvest Moon,Ratnapura,438.36,Delivery,C,+94794946120
Woodapple,Farm Direct,Matara,246.26,Delivery,A,+94759882967
Custard Apple,Exotic Fruits Lanka,Puttalam,351.45,Courier,B,+94705886902
Custard Apple,Southern Fruits & Veggies,Colombo,203.17,Pickup,B,+94747772749
Custard Apple,Nature's Bounty,Galle,89.59,Courier,C,+94701219878
Ambarella,Exotic Fruits Lanka,Anuradhapura,346.64,Delivery,A,+94769789458
Ambarella,Coconut Grove Farms,Matara,403.91,Courier,B,+94735821722
Ambarella,Royal Fruit Exports,Anuradhapura,394.14,Pickup,B,+94789159884
Beli,Spice Garden Exports,Galle,258.17,Pickup,A,+94712445444
Beli,Southern Fruits & Veggies,Matara,74.16,Pickup,B,+94744413072
Beli,Farm Direct,Jaffna,468.55,Courier,B,+94775112892
Jackfruit,Golden Mango Traders,Batticaloa,130.88,Delivery,A,+94785134293
Jackfruit,Coconut Grove Farms,Kandy,275.52,Delivery,A,+94742269322
Jackfruit,Fresh Picks,Colombo,396.06,Delivery,A,+94772451325
Mango,Royal Fruit Exports,Colombo,354.65,Pickup,B,+94739818335
Kiwi,Farm Direct,Batticaloa,290.65,Delivery,A,+94733323216
Strawberry,Organic Lanka,Colombo,92.75,Courier,C,+94738711273
Strawberry,Jaffna Agro Products,Matara,378.07,Courier,C,+94708390429
Strawberry,Spice Garden Exports,Kurunegala,459.19,Delivery,A,+94798247726
Lemon,Nature's Bounty,Jaffna,144.8,Delivery,C,+94711438816
Lemon,Eastern Produce Co.,Colombo,242.14,Courier,A,+94727609162
Lemon,Farm Direct,Matara,382.91,Pickup,C,+94773311551
Mangosteen,Coconut Grove Farms,Negombo,62.91,Pickup,B,+94770695379
Mangosteen,Golden Mango Traders,Puttalam,338.74,Pickup,A,+94752423536
Mangosteen,Organic Lanka,Anuradhapura,468.4,Delivery,B,+94778893631
Rambutan,Harvest Moon,Galle,92.11,Delivery,C,+94786865756
Rambutan,Golden Mango Traders,Kurunegala,183.97,Delivery,C,+94752200758
Apple,Ceylon Fruit Suppliers,Negombo,182.03,Delivery,C,+94700891386
Apple,Farm Direct,Jaffna,299.68,Delivery,C,+94708155484
Custard Apple,Tropical Harvest Co.,Anuradhapura,169.54,Pickup,A,+94781238665
Apple,Green Valley Orchards,Kandy,381.74,Delivery,B,+94722343062
Apple,Ceylon Fruit Suppliers,Jaffna,239.78,Pickup,A,+94734306527
Banana,Exotic Fruits Lanka,Matara,92.53,Pickup,A,+94742750547
Banana,Tropical Harvest Co.,Batticaloa,348.1,Pickup,B,+94735838230
Coconut,Eastern Produce Co.,Kurunegala,332.68,Delivery,B,+94780656752
Peach,Spice Garden Exports,Negombo,442.66,Pickup,B,+94707313366
Banana,Coconut Grove Farms,Batticaloa,417.2,Delivery,B,+94730354115
Beli,Tropical Harvest Co.,Matara,276.01,Courier,C,+94730131361
Apple,Southern Fruits & Veggies,Puttalam,386.66,Courier,C,+94737908911
Apple,Royal Fruit Exports,Negombo,314.78,Courier,A,+94757646077
Apple,Spice Garden Exports,Anuradhapura,202.13,Delivery,B,+94722556886
Lemon,Fresh Picks,Badulla,142.4,Pickup,A,+94779057569
Pineapple,Golden Mango Traders,Anuradhapura,324.96,Pickup,A,+94751970410
Papaya,Eastern Produce Co.,Galle,402.3,Pickup,B,+94733125458
Papaya,Tropical Harvest Co.,Jaffna,390.13,Pickup,C,+94776973569
Woodapple,Coconut Grove Farms,Negombo,494.71,Delivery,B,+94717263064
Woodapple,Island Fresh Produce,Jaffna,484.92,Pickup,C,+94739928765
Woodapple,Tropical Harvest Co.,Anuradhapura,439.28,Delivery,A,+94765286543
Beli,Coconut Grove Farms,Galle,406.86,Pickup,A,+94713427530
Blueberry,Coconut Grove Farms,Badulla,171.91,Pickup,A,+94766488480
Jackfruit,Southern Fruits & Veggies,Anuradhapura,183.37,Delivery,C,+94750360893
Jackfruit,Organic Lanka,Trincomalee,457.39,Pickup,A,+94707733367
Plum,Hill Country Harvest,Jaffna,98.32,Delivery,C,+94776649916
Lemon,Nature's Bounty,Anuradhapura,269.44,Courier,A,+94757693386
Lemon,Farm Direct,Jaffna,357.35,Pickup,B,+94793383680
Lemon,Green Valley Orchards,Ratnapura,345.92,Delivery,C,+94724530628
Mangosteen,Organic Lanka,Badulla,72.93,Delivery,B,+94790482763
Mangosteen,Golden Mango Traders,Negombo,348.4,Delivery,A,+94782252049
Plum,Fresh Picks,Jaffna,279.25,Courier,A,+94713633070
Plum,Southern Fruits & Veggies,Batticaloa,378.17,Delivery,B,+94762422184
Grapes,Southern Fruits & Veggies,Batticaloa,424.54,Pickup,C,+94743130227
Grapes,Golden Mango Traders,Ratnapura,137.21,Delivery,A,+94785315295
Grapes,Eastern Produce Co.,Kandy,122.11,Delivery,B,+94792687608
Lychee,Fresh Picks,Kurunegala,282.08,Courier,C,+94773880955
Pineapple,Harvest Moon,Ratnapura,456.73,Delivery,B,+94787498402
Pineapple,Eastern Produce Co.,Jaffna,164.96,Delivery,A,+94724598906
Pineapple,Kandyan Fruits Ltd.,Kurunegala,265.21,Delivery,B,+94775743340
Mango,Exotic Fruits Lanka,Galle,190.33,Delivery,C,+94792915275
Mango,Island Fresh Produce,Colombo,312.2,Delivery,A,+94744124799
Pear,Island Fresh Produce,Kurunegala,404.34,Courier,C,+94794092029
Pear,Spice Garden Exports,Jaffna,91.92,Courier,B,+94710715794
Rambutan,Green Valley Orchards,Galle,129.05,Pickup,A,+94778253856
Coconut,Eastern Produce Co.,Kandy,167.95,Courier,B,+94763230185
Coconut,Tropical Harvest Co.,Jaffna,378.12,Delivery,A,+94730851946
Pomegranate,Spice Garden Exports,Galle,112.16,Delivery,B,+94717699726
Peach,Tropical Harvest Co.,Ratnapura,490.64,Delivery,A,+94789771886
Avocado,Tropical Harvest Co.,Galle,127.77,Courier,C,+94795358070
Avocado,Island Fresh Produce,Batticaloa,164.89,Pickup,A,+94741121710
Avocado,Southern Fruits & Veggies,Anuradhapura,76.89,Delivery,A,+94767918073
Jackfruit,Sunripe Fruits,Galle,391.76,Courier,C,+94764749657
Jackfruit,Spice Garden Exports,Kurunegala,64.0,Pickup,C,+94794883684
Jackfruit,Green Valley Orchards,Negombo,71.86,Courier,A,+94713571580
Pineapple,Kandyan Fruits Ltd.,Matara,356.58,Delivery,A,+94758651065
Plum,Southern Fruits & Veggies,Badulla,325.66,Delivery,A,+94789492079
Plum,Hill Country Harvest,Kurunegala,416.36,Courier,C,+94753245920
Plum,Nature's Bounty,Puttalam,254.38,Pickup,C,+94780226558
Watermelon,Organic Lanka,Badulla,252.03,Courier,B,+94754292912
Watermelon,Harvest Moon,Kurunegala,453.58,Delivery,B,+94772958339
Watermelon,Sunripe Fruits,Kandy,328.67,Pickup,B,+94722864668
Blueberry,Tropical Harvest Co.,Colombo,112.39,Courier,B,+94738503064
Ambarella,Island Fresh Produce,Matara,153.77,Pickup,C,+94786597073
Ambarella,Southern Fruits & Veggies,Galle,435.57,Pickup,A,+94726528630
Lemon,Nature's Bounty,Batticaloa,336.91,Pickup,C,+94771865471
Lemon,Jaffna Agro Products,Puttalam,297.25,Pickup,C,+94751623834
Lychee,Royal Fruit Exports,Puttalam,364.39,Pickup,C,+94728061715
Lychee,Hill Country Harvest,Colombo,206.38,Courier,B,+94755383914
Orange,Exotic Fruits Lanka,Batticaloa,57.9,Delivery,A,+94758018631
Orange,Eastern Produce Co.,Matara,310.15,Courier,C,+94748744201
Plum,Eastern Produce Co.,Kurunegala,250.66,Courier,A,+94712734630
Plum,Spice Garden Exports,Kandy,181.33,Pickup,C,+94787889163
Plum,Fresh Picks,Kandy,187.26,Delivery,A,+94745385162
Rambutan,Exotic Fruits Lanka,Anuradhapura,263.05,Delivery,B,+94706686462
Rambutan,Fresh Picks,Kurunegala,197.35,Pickup,C,+94711099138
Custard Apple,Hill Country Harvest,Jaffna,314.86,Delivery,C,+94758058834
Custard Apple,Green Valley Orchards,Galle,72.33,Pickup,A,+94771496092
Custard Apple,Fresh Picks,Jaffna,364.75,Courier,C,+94733238631
Peach,Fresh Picks,Kurunegala,495.41,Courier,A,+94773798246
Jackfruit,Green Valley Orchards,Trincomalee,250.64,Courier,C,+94767613338
Jackfruit,Coconut Grove Farms,Anuradhapura,116.29,Courier,C,+94744664965
Jackfruit,Island Fresh Produce,Negombo,114.0,Pickup,C,+94700747746
Jackfruit,Organic Lanka,Jaffna,157.0,Pickup,A,+94725284161
Durian,Hill Country Harvest,Batticaloa,318.04,Pickup,A,+94782510390
Rambutan,Golden Mango Traders,Matara,382.65,Delivery,B,+94763023747
Rambutan,Sunripe Fruits,Ratnapura,373.72,Courier,A,+94794394333
Peach,Island Fresh Produce,Batticaloa,156.68,Delivery,C,+94710045876
Peach,Coconut Grove Farms,Badulla,103.16,Courier,C,+94718997605
Peach,Nature's Bounty,Colombo,326.75,Courier,C,+94718983236
Pineapple,Sunripe Fruits,Jaffna,115.19,Pickup,B,+94726999792
Coconut,Eastern Produce Co.,Kandy,356.85,Pickup,C,+94767893458
Coconut,Jaffna Agro Products,Galle,84.3,Delivery,A,+94743233811
Coconut,Eastern Produce Co.,Galle,231.16,Delivery,A,+94775721445
Coconut,Harvest Moon,Kurunegala,285.59,Delivery,C,+94719939306
Coconut,Coconut Grove Farms,Trincomalee,140.28,Courier,C,+94730988636
Lemon,Sunripe Fruits,Ratnapura,259.17,Pickup,C,+94707309245
Lemon,Coconut Grove Farms,Kandy,205.17,Delivery,B,+94762476751
Lemon,Hill Country Harvest,Trincomalee,55.54,Courier,A,+94719240291
Jackfruit,Royal Fruit Exports,Badulla,424.79,Courier,B,+94791654484
Jackfruit,Nature's Bounty,Galle,281.08,Delivery,C,+94718277673
Jackfruit,Tropical Harvest Co.,Galle,175.56,Pickup,C,+94746865586
Beli,Green Valley Orchards,Puttalam,226.39,Delivery,A,+94724755588
Woodapple,Tropical Harvest Co.,Colombo,137.88,Pickup,B,+94701536347
Woodapple,Spice Garden Exports,Galle,176.89,Delivery,B,+94756520379
Lychee,Organic Lanka,Negombo,87.09,Pickup,A,+94711408848
Banana,Spice Garden Exports,Puttalam,67.39,Courier,C,+94727355090
Banana,Hill Country Harvest,Kandy,304.98,Pickup,C,+94747211650
Strawberry,Jaffna Agro Products,Negombo,308.44,Delivery,A,+94710533049
Strawberry,Island Fresh Produce,Batticaloa,177.16,Courier,A,+94717416523
Banana,Hill Country Harvest,Badulla,220.94,Delivery,A,+94701437261
Banana,Farm Direct,Badulla,437.75,Courier,A,+94787662561
Banana,Organic Lanka,Matara,104.97,Courier,A,+94740966440
Coconut,Organic Lanka,Negombo,248.9,Courier,B,+94781070713
Coconut,Green Valley Orchards,Galle,256.29,Delivery,A,+94763388997
Coconut,Eastern Produce Co.,Kurunegala,389.43,Delivery,B,+94764425428
Mangosteen,Island Fresh Produce,Galle,182.23,Pickup,A,+94728693768
Kiwi,Hill Country Harvest,Matara,418.36,Pickup,A,+94728252363
Kiwi,Exotic Fruits Lanka,Batticaloa,265.5,Pickup,A,+94716905884
Custard Apple,Kandyan Fruits Ltd.,Galle,402.05,Pickup,A,+94737381959
Custard Apple,Sunripe Fruits,Kurunegala,430.79,Delivery,A,+94727845886
Custard Apple,Nature's Bounty,Jaffna,307.49,Pickup,A,+94762561171
Jackfruit,Coconut Grove Farms,Puttalam,271.31,Pickup,A,+94716009851
Jackfruit,Southern Fruits & Veggies,Galle,294.92,Pickup,B,+94751316873
Kiwi,Ceylon Fruit Suppliers,Puttalam,301.78,Pickup,B,+94778236752
Kiwi,Island Fresh Produce,Kurunegala,338.53,Delivery,B,+94781464338
Strawberry,Nature's Bounty,Badulla,294.51,Pickup,A,+94725874429
Watermelon,Tropical Harvest Co.,Negombo,117.55,Pickup,C,+94731047513
Watermelon,Eastern Produce Co.,Puttalam,194.76,Pickup,C,+94798007541
Watermelon,Spice Garden Exports,Negombo,427.48,Pickup,B,+94761218668
Apple,Tropical Harvest Co.,Badulla,112.34,Courier,C,+94703237294
Peach,Spice Garden Exports,Trincomalee,204.98,Courier,C,+94778059931
Peach,Farm Direct,Matara,299.97,Courier,B,+94778461386
Peach,Kandyan Fruits Ltd.,Puttalam,375.78,Courier,B,+94720725966
Soursop,Tropical Harvest Co.,Batticaloa,246.01,Delivery,C,+94786393781
Soursop,Organic Lanka,Kurunegala,101.56,Courier,C,+94761853486
Soursop,Royal Fruit Exports,Kandy,260.06,Delivery,C,+94761621492
Plum,Royal Fruit Exports,Badulla,271.35,Courier,A,+94710072763
Plum,Hill Country Harvest,Matara,311.24,Pickup,A,+94747479745
Plum,Exotic Fruits Lanka,Kandy,142.24,Delivery,A,+94759900410
Lemon,Golden Mango Traders,Badulla,419.98,Delivery,C,+94759015755
Lemon,Farm Direct,Batticaloa,136.5,Pickup,C,+94712050686
Mangosteen,Nature's Bounty,Badulla,317.65,Courier,C,+94701307617
Mangosteen,Coconut Grove Farms,Kurunegala,272.31,Pickup,B,+94751625565
Mangosteen,Tropical Harvest Co.,Colombo,291.92,Pickup,B,+94710506615
Blueberry,Hill Country Harvest,Anuradhapura,70.81,Delivery,C,+94794042287
Pineapple,Sunripe Fruits,Trincomalee,180.98,Courier,A,+94711074754
Pineapple,Green Valley Orchards,Galle,371.57,Delivery,A,+94770251888
Pineapple,Nature's Bounty,Batticaloa,139.39,Courier,B,+94750749758
Apple,Farm Direct,Kandy,407.75,Delivery,A,+94726558209
Apple,Tropical Harvest Co.,Jaffna,262.52,Delivery,C,+94710947383
Watermelon,Exotic Fruits Lanka,Kandy,197.26,Courier,C,+94770701763
Watermelon,Nature's Bounty,Colombo,473.03,Delivery,B,+94750861092
Watermelon,Harvest Moon,Jaffna,388.71,Courier,B,+94712120631
Cherry,Jaffna Agro Products,Puttalam,431.04,Pickup,A,+94703565581
Cherry,Island Fresh Produce,Batticaloa,405.43,Courier,C,+94777166608
Durian,Spice Garden Exports,Negombo,55.87,Courier,B,+94770184577
Durian,Southern Fruits & Veggies,Jaffna,286.63,Courier,A,+94764722989
Apple,Fresh Picks,Kandy,253.06,Pickup,B,+94749121517
Apple,Eastern Produce Co.,Trincomalee,180.28,Pickup,B,+94792105020
Apple,Jaffna Agro Products,Negombo,334.71,Delivery,B,+94770941280
Beli,Tropical Harvest Co.,Badulla,98.43,Pickup,B,+94754346181
Beli,Farm Direct,Jaffna,273.31,Delivery,B,+94742888768
Beli,Coconut Grove Farms,Jaffna,373.2,Delivery,A,+94742491780
Rambutan,Harvest Moon,Colombo,99.58,Pickup,A,+94721975989
Kiwi,Tropical Harvest Co.,Colombo,232.15,Delivery,C,+94758671038
Kiwi,Southern Fruits & Veggies,Kandy,242.98,Courier,C,+94719201321
Kiwi,Hill Country Harvest,Jaffna,298.8,Delivery,B,+94734766155
Blueberry,Green Valley Orchards,Kandy,449.02,Courier,A,+94746616968
Watermelon,Sunripe Fruits,Jaffna,185.09,Delivery,C,+94759518228
Watermelon,Spice Garden Exports,Colombo,68.47,Delivery,B,+94748678557
Watermelon,Southern Fruits & Veggies,Colombo,119.84,Courier,A,+94704069527
Lemon,Spice Garden Exports,Kandy,54.16,Courier,A,+94785518992
