Fruit Type,Alternative Product,Location,Production Cost (LKR),Selling Price (LKR),Profit Margin (LKR),Profit Percentage,Raw Fruit Selling Price (LKR),Profit Advantage (LKR),Market Suitability
Ambarella,Fruit Butter,Kurunegala,146.7787147,177.935665,31.15695027,21.2271584,123.3701311,-92.21318088,Export
Coconut,Compote,Negombo,225.3951101,336.6492611,111.254151,49.35961164,198.5233381,-87.26918713,Local & Online
Beli,Pickles,Negombo,141.5137429,184.2070628,42.69331998,30.16902749,35.52151131,7.171808677,Export & Online
Orange,Wine,Badulla,469.5850677,862.7792487,393.194181,83.73225812,67.26653199,325.927649,Export
Woodapple,Chutney,Batticaloa,132.0410356,162.6743754,30.63333981,23.19986334,176.8520176,-146.2186778,Export & Online
Papaya,Freeze-Dried Fruit,Anuradhapura,149.9696196,211.9113852,61.94176556,41.30287568,186.7950592,-124.8532937,Online
Guava,Fruit Candy,Batticaloa,54.34488593,89.96147745,35.61659151,65.53807391,144.8164175,-109.1998259,Export
Rambutan,Fruit Concentrate,Negombo,235.5536116,427.994985,192.4413734,81.69748366,35.582764,156.8586094,Online
Orange,Fruit Topping,Trincomalee,290.0331092,459.638333,169.6052238,58.47788353,60.88403561,108.7211882,Local & Online
Beli,Juice,Matara,427.892591,865.5833338,437.6907427,102.2898624,75.96629526,361.7244475,Export
Grapes,Fruit-Filled Pastries,Batticaloa,280.3904837,559.9243884,279.5339047,99.69450497,38.60146726,240.9324375,Local
Apple,Wine,Ratnapura,431.2165481,675.165211,243.9486629,56.57219416,167.1817587,76.76690417,Export
Lychee,Fruit-Based Dietary Supplements,Galle,342.2455769,802.9390724,460.6934955,134.6090429,114.1307545,346.562741,Online
Ambarella,Fruit Extract,Galle,374.400007,935.2769248,560.8769178,149.8068663,132.2835644,428.5933534,Online
Custard Apple,Fruit-Flavored Tea,Kurunegala,285.4402606,639.5810632,354.1408026,124.0682733,111.6842851,242.4565175,Export & Online
Kiwi,Fruit Extract,Galle,401.7073697,613.5982596,211.8908899,52.74757347,151.1599398,60.73095019,Export & Online
Blueberry,Sauce,Anuradhapura,472.7466158,817.9456109,345.198995,73.01987651,105.4339121,239.765083,Local
Apple,Canned Fruit,Batticaloa,61.067737,95.07855887,34.01082187,55.69360115,27.91012557,6.1006963,Export & Online
Watermelon,Marmalade,Colombo,61.2185775,111.6845675,50.46598998,82.43574425,74.62783667,-24.16184669,Local
Watermelon,Marmalade,Badulla,90.52177266,109.1030517,18.58127906,20.52686167,199.9814736,-181.4001946,Online
Pear,Fruit-Based Dietary Supplements,Colombo,404.4485902,756.2428751,351.7942849,86.98121179,64.7280129,287.066272,Local
Pear,Powdered Fruit,Kurunegala,281.2483604,387.1079395,105.8595791,37.63918087,120.4889091,-14.62933003,Local
Coconut,Canned Fruit Cocktail,Puttalam,320.4985761,669.5559192,349.0573432,108.9107313,42.64902696,306.4083162,Local
Guava,Fruit Pizza,Colombo,63.48041008,144.2461251,80.76571505,127.229353,21.66752768,59.09818737,Online
Orange,Wine,Trincomalee,194.1742559,450.7270475,256.5527916,132.1250288,144.991503,111.5612886,Local
Rambutan,Canned Fruit,Trincomalee,202.9938829,427.8267539,224.8328709,110.7584464,163.5463753,61.28649568,Export & Online
Beli,Marmalade,Kurunegala,130.5428783,313.3015435,182.7586652,139.9989548,92.03828616,90.72037903,Export & Online
Papaya,Canned Fruit Cocktail,Batticaloa,477.867059,574.8779573,97.01089832,20.30081306,138.3341092,-41.3232109,Export & Online
Avocado,Fruit Butter,Galle,362.2979009,865.6182346,503.3203338,138.9244411,34.18704184,469.1332919,Local
Guava,Pickles,Trincomalee,269.1003567,413.7924443,144.6920876,53.76882043,57.18525801,87.50682959,Export & Online
Plum,Fruit-Based Dietary Supplements,Anuradhapura,180.8584677,296.4625289,115.6040611,63.91962875,96.26464793,19.3394132,Export
Pineapple,Sauce,Matara,443.8430373,602.4768929,158.6338556,35.740981,70.42991263,88.20394299,Export & Online
Plum,Pulp,Badulla,252.6082236,467.1263573,214.5181337,84.92127873,192.2030188,22.31511481,Local & Online
Apple,Fruit Pizza,Ratnapura,308.1277439,640.7720386,332.6442947,107.956619,55.29146534,277.3528293,Export
Pear,Syrup,Jaffna,423.6162081,675.2458542,251.6296462,59.40038208,144.0398437,107.5898024,Export
Strawberry,Dried Fruit,Anuradhapura,440.6854028,1056.299767,615.6143641,139.6947483,26.01502518,589.5993389,Export
Pear,Jelly,Trincomalee,311.6663262,674.2831196,362.6167934,116.3477614,142.5962836,220.0205098,Local & Online
Woodapple,Fruit-Infused Water,Ratnapura,478.9665134,1099.692791,620.7262775,129.5970094,108.3635941,512.3626834,Local & Online
Custard Apple,Wine,Galle,430.6834556,952.0274634,521.3440078,121.0503912,74.25712389,447.0868839,Online
Ambarella,Fruit Bars,Trincomalee,328.0492514,415.9517047,87.90245327,26.79550491,37.11418594,50.78826733,Local & Online
Beli,Chutney,Kandy,128.2004571,214.2888729,86.08841578,67.15141092,70.39062749,15.69778829,Online
Jackfruit,Fruit Extract,Kurunegala,427.1709557,837.8660994,410.6951437,96.14304022,175.2237458,235.4713979,Export & Online
Jackfruit,Fruit-Filled Pastries,Anuradhapura,432.6672512,622.2350574,189.5678062,43.81376352,124.4413293,65.12647689,Export
Mango,Marmalade,Galle,141.2415092,205.8830803,64.64157113,45.76669529,189.4082288,-124.7666577,Local & Online
Kiwi,Compote,Trincomalee,233.699748,378.9804742,145.2807262,62.16554677,142.1055019,3.175224284,Local & Online
Strawberry,Wine,Matara,422.9118413,519.1119137,96.20007234,22.74707467,119.5094163,-23.30934396,Export & Online
Lemon,Fruit Concentrate,Kandy,452.100896,855.8098143,403.7089183,89.29619956,114.0171127,289.6918056,Local
Mangosteen,Pickles,Badulla,472.5710565,576.5498619,103.9788054,22.00278751,42.62259506,61.35621033,Online
Rambutan,Fruit Salad Mix,Badulla,280.3508236,355.4937448,75.14292123,26.80317477,31.84456177,43.29835946,Export & Online
Apple,Fruit Leather,Trincomalee,308.3044874,458.2407306,149.9362432,48.63252057,74.79234849,75.14389474,Export & Online
Custard Apple,Jelly,Anuradhapura,443.1258771,719.8923884,276.7665113,62.45776326,161.3719024,115.3946088,Export & Online
Apple,Fruit Extract,Anuradhapura,200.155492,487.3134973,287.1580053,143.4674624,188.5521467,98.60585862,Export & Online
Banana,Powdered Fruit,Jaffna,498.3457818,957.73682,459.3910382,92.18318985,132.3836416,327.0073966,Local
Coconut,Fruit Salsa,Anuradhapura,227.380809,478.0389364,250.6581274,110.2371518,62.5999267,188.0582007,Local & Online
Peach,Preserves,Ratnapura,150.7262412,270.8301017,120.1038605,79.6834443,67.80101278,52.30284769,Export
Banana,Fermented Drink,Anuradhapura,86.96033688,111.1972752,24.2369383,27.87125622,99.17215984,-74.93522155,Export
Beli,Fruit-Flavored Tea,Galle,122.4580985,265.3393027,142.8812042,116.6776277,83.33654982,59.54465441,Online
Apple,Frozen Dessert,Colombo,196.1012925,434.7186408,238.6173483,121.6806607,87.80605473,150.8112936,Online
Lemon,Dried Fruit,Badulla,88.81333153,181.0518094,92.23847786,103.8565678,110.0720397,-17.83356182,Export
Pineapple,Chutney,Anuradhapura,472.238166,949.4583172,477.2201511,101.054973,144.3162641,332.9038871,Export & Online
Papaya,Fruit Bars,Kandy,54.51020853,97.56910217,43.05889364,78.99234804,126.8612235,-83.80232986,Export
Woodapple,Chutney,Anuradhapura,178.6553386,440.4127213,261.7573827,146.5152873,149.146108,112.6112747,Export & Online
Beli,Chutney,Colombo,404.7859302,729.5164741,324.7305439,80.22278435,22.24706892,302.4834749,Export & Online
Blueberry,Fruit-Based Dietary Supplements,Puttalam,214.4498284,424.115788,209.6659597,97.76923641,45.44628569,164.219674,Export
Jackfruit,Juice,Jaffna,336.6148071,575.800841,239.1860339,71.05630201,44.80757469,194.3784592,Export
Plum,Smoothie Mix,Matara,465.5950205,787.5132485,321.918228,69.14125234,107.2764734,214.6417546,Export & Online
Lemon,Pulp,Kurunegala,232.6676565,452.5238971,219.8562406,94.49368421,193.1615942,26.69464635,Online
Mangosteen,Fruit Chips,Matara,419.147982,877.5052227,458.3572407,109.3545145,64.78094044,393.5763002,Local
Plum,Powdered Fruit,Puttalam,147.7765238,203.5064583,55.72993453,37.71230578,137.0316716,-81.30173705,Local & Online
Grapes,Fermented Drink,Puttalam,442.1190172,825.5045048,383.3854875,86.71544823,137.8287183,245.5567693,Export
Lychee,Fruit Salsa,Batticaloa,323.6353782,657.3248435,333.6894653,103.1066094,114.7966947,218.8927706,Export
Pineapple,Fruit Vinegar,Matara,88.30309129,145.955079,57.65198769,65.2887536,21.52928423,36.12270346,Export
Mango,Fruit Salsa,Puttalam,181.8830136,380.1793451,198.2963314,109.024107,154.3224514,43.97388005,Export
Pear,Frozen Dessert,Kandy,142.6131519,210.9911934,68.37804143,47.94651861,121.3239347,-52.94589329,Local
Rambutan,Jam,Anuradhapura,360.4691385,649.6219091,289.1527706,80.21567998,172.5020018,116.6507688,Local & Online
Coconut,Canned Fruit Cocktail,Puttalam,351.0430995,805.1634525,454.120353,129.3631334,131.0543459,323.066007,Online
Pomegranate,Flavored Yogurt,Colombo,367.7679257,687.5664868,319.7985611,86.95662094,152.4822119,167.3163492,Online
Peach,Flavored Yogurt,Batticaloa,269.4070749,587.9936781,318.5866032,118.2547278,51.82328804,266.7633152,Export
Avocado,Nectar,Matara,399.8197418,827.0754241,427.2556823,106.8620775,68.42357363,358.8321087,Online
Jackfruit,Canned Fruit,Badulla,201.3435922,408.886301,207.5427088,103.0788745,56.84341238,150.6992964,Local & Online
Pineapple,Fruit Extract,Ratnapura,99.39067996,125.3155406,25.92486065,26.08379443,134.8352339,-108.9103733,Local
Plum,Jam,Kandy,456.4544069,1001.315016,544.8606088,119.3680246,116.8578341,428.0027747,Export & Online
Watermelon,Freeze-Dried Fruit,Galle,87.33406701,185.013311,97.67924404,111.845523,54.84587205,42.83337199,Export
Blueberry,Fruit Topping,Badulla,143.3368935,341.3857246,198.0488311,138.1701712,110.1218873,87.92694382,Local
Ambarella,Syrup,Ratnapura,171.8920528,378.3944379,206.5023851,120.1349229,193.6342436,12.86814154,Local & Online
Lemon,Smoothie Mix,Kurunegala,436.2098387,1013.846545,577.636706,132.4217509,105.7764808,471.8602252,Online
Lychee,Essential Oil,Batticaloa,240.132276,321.1942276,81.06195156,33.75720786,115.7415259,-34.67957435,Export
Orange,Dried Fruit,Colombo,139.9897213,302.9216035,162.9318822,116.388461,110.631738,52.30014421,Export & Online
Plum,Freeze-Dried Fruit,Anuradhapura,376.8957276,826.2730241,449.3772965,119.2311994,43.0487816,406.3285149,Export
Rambutan,Flavored Yogurt,Negombo,313.3062453,460.1178541,146.8116088,46.85881976,167.1237216,-20.31211281,Online
Custard Apple,Canned Fruit,Jaffna,142.899276,286.2936086,143.3943326,100.3464374,90.15175181,53.2425808,Local
Peach,Fruit Salsa,Kandy,87.08902268,141.9773414,54.88831868,63.02553065,190.467795,-135.5794763,Local & Online
Jackfruit,Chutney,Matara,84.22463699,153.7785672,69.55393024,82.58145446,41.07765543,28.47627481,Online
Jackfruit,Fruit Leather,Kurunegala,73.99608702,177.1506487,103.1545616,139.4054278,73.09614334,30.0584183,Export
Durian,Jam,Ratnapura,61.8002001,135.299323,73.49912291,118.9302345,50.01242834,23.48669457,Export & Online
Rambutan,Fruit Extract,Jaffna,456.9875321,960.2323554,503.2448233,110.1222217,111.3362731,391.9085502,Online
Peach,Dried Fruit,Anuradhapura,263.8232737,398.8072546,134.9839809,51.16454623,189.8801323,-54.89615142,Local & Online
Pineapple,Canned Fruit,Jaffna,156.0027785,380.8121148,224.8093363,144.1059823,111.2133359,113.5960004,Export & Online
Coconut,Pulp,Matara,455.2890509,676.0579305,220.7688795,48.4898284,166.1072401,54.66163938,Online
Coconut,Compote,Matara,159.0752482,358.0076142,198.932366,125.0555119,155.6223427,43.31002327,Online
Lemon,Fruit Extract,Galle,84.39954859,162.0019859,77.60243735,91.94650759,98.81144499,-21.20900764,Export & Online
Jackfruit,Canned Fruit,Trincomalee,301.8055542,688.1445593,386.3390051,128.0092429,25.41204072,360.9269644,Local & Online
Beli,Fruit Puree,Puttalam,221.3272624,397.2422738,175.9150114,79.48185393,59.52001887,116.3949925,Local
Woodapple,Frozen Dessert,Ratnapura,231.9451303,286.9494677,55.0043374,23.71437475,172.1819233,-117.1775859,Export & Online
Lychee,Jelly,Batticaloa,195.9740381,267.7291508,71.75511265,36.61460127,130.3618047,-58.60669202,Local & Online
Banana,Jelly,Colombo,198.1007867,359.7062855,161.6054988,81.57741396,190.38702,-28.7815212,Online
Strawberry,Fruit Topping,Colombo,367.1720696,460.3955775,93.22350783,25.38959674,195.5868308,-102.3633229,Local & Online
Banana,Powdered Fruit,Anuradhapura,127.7875869,177.9721146,50.18452775,39.27183303,185.8959729,-135.7114452,Export
Coconut,Fruit Butter,Colombo,67.52357311,110.6567139,43.13314076,63.87864085,118.0230111,-74.88987035,Export
Mangosteen,Fruit Salsa,Anuradhapura,312.0759973,562.5123493,250.4363521,80.24851454,21.23488879,229.2014633,Export & Online
Kiwi,Juice,Kurunegala,225.866828,452.2156735,226.3488455,100.2134078,128.2760678,98.07277767,Export
Custard Apple,Preserves,Colombo,60.8475938,102.3500395,41.50244573,68.20720942,48.21234986,-6.709904123,Local & Online
Jackfruit,Fruit Topping,Ratnapura,117.016428,142.8524708,25.83604279,22.07898773,27.21262636,-1.37658357,Local & Online
Kiwi,Fruit-Flavored Tea,Galle,278.9734797,629.3617221,350.3882424,125.5991225,120.6303267,229.7579157,Export
Strawberry,Frozen Dessert,Trincomalee,83.23905415,153.9297244,70.69067022,84.92488405,159.3127674,-88.62209717,Online
Watermelon,Fruit Concentrate,Trincomalee,299.952706,739.9130846,439.9603786,146.6765826,113.6663827,326.2939959,Local & Online
Apple,Juice,Badulla,310.3287275,774.3845786,464.055851,149.5368652,194.062184,269.9936671,Local
Peach,Pickles,Negombo,133.7752895,181.410479,47.63518945,35.60836207,124.2279966,-76.59280711,Export & Online
Soursop,Freeze-Dried Fruit,Puttalam,154.8189287,279.8287938,125.0098651,80.74585331,32.74143994,92.26842514,Local
Plum,Pulp,Negombo,421.708605,737.4438859,315.7352809,74.87048571,60.77391461,254.9613662,Local
Lemon,Fruit Topping,Trincomalee,124.8853619,155.2131417,30.32777983,24.28449529,185.4432474,-155.1154676,Local & Online
Mangosteen,Sauce,Kurunegala,85.21439317,179.0672199,93.85282672,110.137294,153.0394988,-59.1866721,Online
Blueberry,Preserves,Galle,479.6845801,983.250557,503.5659769,104.9785625,67.18654497,436.3794319,Local
Pineapple,Jelly,Negombo,341.7034465,757.3947973,415.6913508,121.6526655,51.79553476,363.8958161,Online
Apple,Fruit Salsa,Galle,236.8720189,390.2790683,153.4070494,64.76368549,104.9164626,48.49058672,Export
Watermelon,Fruit Snacks,Batticaloa,322.4535454,716.9997072,394.5461618,122.3575201,69.44040767,325.1057541,Local
Cherry,Fruit Candy,Negombo,293.6922261,616.7803601,323.088134,110.0090862,66.38542128,256.7027127,Local
Durian,Fruit Topping,Kandy,386.5978083,551.6971813,165.0993729,42.7057188,55.08602638,110.0133465,Local
Apple,Fruit Butter,Colombo,190.9561386,474.8503062,283.8941676,148.6698305,126.1807093,157.7134584,Local
Beli,Fruit Snacks,Galle,479.4497847,766.3074389,286.8576542,59.83059401,65.96145173,220.8962025,Local
Rambutan,Fruit Extract,Colombo,427.6065792,964.046787,536.4402078,125.4518134,196.6563306,339.7838772,Export
Kiwi,Wine,Colombo,456.5579219,799.3076867,342.7497647,75.07256982,42.24665239,300.5031123,Export
Blueberry,Essential Oil,Ratnapura,231.1799887,528.135832,296.9558432,128.4522267,119.17738,177.7784632,Export & Online
Watermelon,Smoothie Mix,Galle,213.235759,324.0273863,110.7916273,51.95733955,130.9025319,-20.11090459,Local & Online
Lemon,Fruit Salsa,Batticaloa,331.49352,770.8566853,439.3631654,132.540499,72.7101348,366.6530306,Online
Rambutan,Compote,Jaffna,383.7236412,659.9929373,276.2692961,71.99694428,70.69803457,205.5712616,Local & Online
Mangosteen,Chutney,Trincomalee,451.4715722,560.4834682,109.011896,24.1459048,103.5637898,5.448106229,Export & Online
Peach,Fermented Drink,Batticaloa,328.5545563,481.9780011,153.4234448,46.69648978,80.01282462,73.41062019,Export & Online
Guava,Fruit Salad Mix,Colombo,137.8301657,212.8250894,74.99492362,54.41111039,163.1911203,-88.19619671,Local
Plum,Chutney,Jaffna,198.9865687,455.8805238,256.893955,129.1011532,67.8510611,189.0428939,Export
Jackfruit,Fruit Snacks,Anuradhapura,143.7152795,209.281431,65.56615149,45.62225513,108.1105556,-42.54440407,Export
Kiwi,Dried Fruit,Jaffna,201.4975496,375.6861208,174.1885711,86.44699227,55.705846,118.4827251,Local
Jackfruit,Pulp,Colombo,241.2106692,384.9945257,143.7838565,59.60924408,34.76442954,109.019427,Export
Mangosteen,Fruit-Infused Water,Matara,208.1081258,298.1126178,90.00449199,43.24890806,183.8920248,-93.88753277,Online
Watermelon,Jam,Jaffna,182.999254,296.9917873,113.9925334,62.29125578,127.1523924,-13.15985899,Online
Orange,Fruit Vinegar,Negombo,51.19176682,74.52104096,23.32927415,45.5723168,118.8917617,-95.56248756,Local & Online
Papaya,Fruit-Filled Pastries,Kandy,365.1191562,568.5485068,203.4293506,55.71587993,113.7744599,89.65489072,Export
Blueberry,Fruit-Flavored Tea,Galle,197.0583721,296.2798241,99.22145201,50.35129995,64.34918282,34.87226919,Export & Online
Pineapple,Fruit Butter,Anuradhapura,470.1555282,639.4726288,169.3171006,36.01299792,184.8700944,-15.55299378,Online
Strawberry,Fruit Salad Mix,Batticaloa,426.6685949,615.128333,188.4597381,44.1700515,189.4433514,-0.983613321,Local
Watermelon,Fruit Candy,Anuradhapura,449.020448,775.3049151,326.2844671,72.66583705,152.293306,173.9911611,Export & Online
Banana,Jam,Kurunegala,351.1427608,629.3158047,278.1730439,79.21935887,122.2815502,155.8914936,Export & Online
Coconut,Sauce,Colombo,438.4080479,917.51956,479.1115121,109.2843789,38.99374401,440.1177681,Local & Online
Avocado,Freeze-Dried Fruit,Anuradhapura,343.2702813,716.8740653,373.6037839,108.8366236,151.6493114,221.9544726,Local & Online
Cherry,Fruit Topping,Kurunegala,475.3269952,587.8712052,112.54421,23.67721825,165.3636069,-52.81939688,Local & Online
Mangosteen,Preserves,Badulla,148.1727573,325.3359261,177.1631688,119.5652777,36.68665035,140.4765184,Local
Plum,Fruit Salad Mix,Kandy,436.7044317,643.7278396,207.0234079,47.40584085,140.4790486,66.54435932,Local
Soursop,Fruit Pizza,Anuradhapura,377.8247605,627.0068968,249.1821363,65.95177509,50.68672496,198.4954113,Online
Durian,Nectar,Anuradhapura,136.1806618,262.2402329,126.0595711,92.56789433,31.21027422,94.84929686,Local & Online
Pear,Sauce,Kandy,127.888965,195.8013191,67.91235413,53.1025911,188.6528367,-120.7404826,Export
Guava,Pickles,Ratnapura,362.7725832,604.1588669,241.3862836,66.53928516,136.5033804,104.8829032,Export
Plum,Juice,Puttalam,339.7010749,442.3988164,102.6977415,30.23179763,135.5145943,-32.81685278,Export
Watermelon,Fruit Butter,Anuradhapura,185.4744888,332.6670235,147.1925346,79.35998936,155.4105388,-8.218004157,Local & Online
Blueberry,Fermented Drink,Batticaloa,448.2398331,800.1494323,351.9095993,78.50922058,151.6950052,200.2145941,Export
Custard Apple,Fruit-Based Dietary Supplements,Trincomalee,100.0837882,213.9100612,113.826273,113.7309799,134.8936827,-21.06740962,Export & Online
Orange,Chutney,Colombo,446.5992748,980.9584049,534.3591301,119.6506936,122.5320985,411.8270316,Export
Plum,Vinegar,Negombo,249.9691414,365.6834708,115.7143294,46.2914457,168.1359739,-52.42164457,Local & Online
Ambarella,Chutney,Batticaloa,123.7870845,292.7314422,168.9443577,136.4797938,165.9516788,2.992678932,Local & Online
Strawberry,Fruit-Filled Pastries,Anuradhapura,478.5899782,672.3252941,193.7353159,40.48043727,114.1131103,79.62220558,Local
Watermelon,Fruit-Based Dietary Supplements,Jaffna,284.813756,690.7196946,405.9059387,142.516269,145.8265154,260.0794233,Export & Online
Coconut,Fruit Bars,Kurunegala,437.1442706,547.5824516,110.438181,25.26355449,20.16672867,90.27145234,Local
Mangosteen,Marmalade,Badulla,388.6173067,807.0574484,418.4401417,107.6740882,109.2068373,309.2333044,Export
Beli,Fruit Chips,Kandy,264.3190321,504.7557544,240.4367223,90.9645894,66.03964735,174.3970749,Online
Pomegranate,Powdered Fruit,Badulla,134.0237213,324.1064549,190.0827336,141.8276793,169.7483358,20.33439781,Local
Lemon,Smoothie Mix,Jaffna,387.0957842,700.1030948,313.0073106,80.86042871,35.37603206,277.6312785,Export & Online
Blueberry,Smoothie Mix,Negombo,218.5871107,340.4908255,121.9037147,55.76894005,184.5389082,-62.63519344,Local & Online
Papaya,Fruit Candy,Colombo,353.2408475,802.8912793,449.6504318,127.2928754,51.7148207,397.9356111,Local
Plum,Fruit Chips,Matara,147.0769259,202.2881694,55.21124342,37.53902461,34.34253159,20.86871183,Export & Online
Banana,Fruit Candy,Galle,103.2118779,149.9984184,46.78654047,45.33057764,115.4741274,-68.68758695,Local & Online
Ambarella,Fruit Leather,Kurunegala,261.9935067,331.9148428,69.92133615,26.68819431,51.97850631,17.94282983,Local
Kiwi,Fruit-Filled Pastries,Trincomalee,287.0454181,383.7050159,96.65959778,33.67397342,190.5146828,-93.85508497,Export & Online
Mango,Freeze-Dried Fruit,Colombo,192.015701,440.6195443,248.6038433,129.4705808,57.7188837,190.8849596,Export
Rambutan,Jelly,Negombo,294.3959243,368.1031961,73.70727182,25.03678405,171.6154234,-97.90815159,Local
Mango,Jam,Batticaloa,239.9973839,488.8246707,248.8272868,103.6791663,98.37672027,150.4505665,Local
Blueberry,Jam,Kandy,186.3388542,285.64425,99.30539588,53.29290895,111.8790805,-12.57368467,Local & Online
Jackfruit,Marmalade,Matara,164.5712329,326.3196864,161.7484535,98.28476744,169.6039772,-7.855523683,Online
Lemon,Pulp,Ratnapura,58.89371788,128.421242,69.52752412,118.0559262,134.1487824,-64.62125831,Online
Durian,Fruit Butter,Galle,320.8374412,436.9702157,116.1327745,36.19676497,124.0964726,-7.963698125,Export
Pomegranate,Freeze-Dried Fruit,Colombo,434.4452382,807.5878191,373.1425809,85.88943969,106.7838072,266.3587737,Local
Lemon,Vinegar,Kurunegala,309.705275,443.0801153,133.3748402,43.06508509,186.5591003,-53.1842601,Online
Watermelon,Vinegar,Ratnapura,390.0004314,952.2033256,562.2028943,144.1544288,193.2980343,368.9048599,Online
Custard Apple,Nectar,Trincomalee,170.4623474,372.2586628,201.7963155,118.3817532,50.22338152,151.5729339,Local
Watermelon,Fruit-Infused Water,Anuradhapura,120.7432238,292.2005885,171.4573647,142.0016456,148.3496797,23.107685,Online
Pineapple,Preserves,Galle,202.818125,286.2817736,83.46364863,41.15196737,32.47378157,50.98986706,Local & Online
Ambarella,Preserves,Colombo,368.3219339,831.9524366,463.6305027,125.8764304,90.3175979,373.3129048,Online
Lemon,Marmalade,Matara,368.1720886,452.9999285,84.82783988,23.04026908,132.242032,-47.41419212,Online
Blueberry,Fruit-Filled Pastries,Jaffna,72.96414317,161.4738722,88.50972907,121.3057883,188.2121265,-99.70239743,Export
Pomegranate,Canned Fruit Cocktail,Anuradhapura,256.0151581,518.6727141,262.657556,102.5945331,179.369,83.28855597,Online
Coconut,Preserves,Badulla,105.4988106,129.8959621,24.39715146,23.12552276,143.8444147,-119.4472633,Local
Pear,Smoothie Mix,Kurunegala,287.0823294,471.3687792,184.2864498,64.19289206,139.7243009,44.56214894,Export
Orange,Pulp,Negombo,206.244313,419.9584784,213.7141654,103.6218465,167.3129452,46.40122018,Local
Plum,Juice,Trincomalee,368.2127794,775.0007054,406.787926,110.4763193,93.88882343,312.8991026,Online
Coconut,Wine,Puttalam,280.74806,477.5558451,196.8077851,70.10120929,145.1905193,51.61726579,Local
Avocado,Smoothie Mix,Anuradhapura,163.2441904,238.9428223,75.69863192,46.37140945,25.56590158,50.13273034,Online
Beli,Fruit-Filled Pastries,Batticaloa,423.7466424,1034.873782,611.1271393,144.2199367,112.0897783,499.037361,Online
Pear,Essential Oil,Negombo,165.2176822,307.8543796,142.6366974,86.33258591,102.9428748,39.69382262,Export
Ambarella,Fruit Topping,Colombo,360.5392728,567.6879302,207.1486574,57.45522694,122.3341817,84.81447572,Export & Online
Lemon,Jelly,Kandy,187.399094,305.2618873,117.8627932,62.89400376,166.3951173,-48.53232404,Export & Online
Pineapple,Fruit Snacks,Galle,301.7483665,598.0644921,296.3161256,98.19974473,175.9761775,120.3399482,Online
Coconut,Fruit Butter,Badulla,417.6563763,762.6230537,344.9666774,82.59581248,126.975684,217.9909934,Export & Online
Peach,Vinegar,Negombo,394.4695828,925.0180269,530.5484441,134.4966677,90.11729179,440.4311523,Local
Pineapple,Powdered Fruit,Colombo,152.0506708,357.4781164,205.4274456,135.1045968,180.8427369,24.58470875,Local & Online
Mango,Jelly,Batticaloa,218.5894262,460.9865412,242.397115,110.8915098,163.2022854,79.19482963,Online
Papaya,Fruit Vinegar,Galle,279.9246403,539.9116401,259.9869998,92.87749712,97.18111963,162.8058801,Local & Online
Lemon,Nectar,Kurunegala,271.828089,380.1704105,108.3423215,39.85692645,43.04448908,65.29783244,Local & Online
Banana,Vinegar,Puttalam,313.6737392,711.5454611,397.8717218,126.8425348,71.48763844,326.3840834,Export
Mangosteen,Fruit Snacks,Badulla,394.4067481,755.4973714,361.0906234,91.55285125,192.9129843,168.177639,Local
Avocado,Preserves,Kurunegala,174.7296763,427.4098249,252.6801486,144.6120396,103.0130303,149.6671183,Export
Avocado,Sauce,Anuradhapura,195.1499693,250.2066355,55.05666622,28.21249033,83.63110626,-28.57444005,Export & Online
Coconut,Powdered Fruit,Matara,218.5254386,478.49884,259.9734014,118.9671111,47.22669766,212.7467037,Online
Coconut,Canned Fruit,Jaffna,338.5540093,601.0895439,262.5355346,77.54613072,20.62643669,241.9090979,Local & Online
Peach,Juice,Badulla,453.8295109,1095.377287,641.547776,141.3631685,179.3503097,462.1974664,Local & Online
Durian,Sauce,Jaffna,123.7190118,258.2497366,134.5307247,108.738926,22.64368576,111.887039,Online
Watermelon,Fermented Drink,Ratnapura,50.2938558,63.76566138,13.47180558,26.78618563,167.7297981,-154.2579925,Local & Online
Soursop,Chutney,Galle,471.2088335,686.7650648,215.5562313,45.74537148,105.2721577,110.2840736,Online
Mangosteen,Juice,Galle,340.2564781,480.0733337,139.8168556,41.09160723,181.7044325,-41.88757695,Export
Pomegranate,Chutney,Badulla,370.83927,782.4068167,411.5675467,110.9827302,81.25318007,330.3143666,Export
Jackfruit,Fermented Drink,Kurunegala,238.8056343,391.0918108,152.2861764,63.76992606,194.137519,-41.85134254,Local
Peach,Jelly,Colombo,268.9267509,641.9264897,372.9997388,138.699381,80.83183155,292.1679072,Local & Online
Grapes,Fruit Snacks,Jaffna,78.81223121,105.882854,27.07062283,34.3482508,29.408811,-2.338188162,Export & Online
Woodapple,Syrup,Colombo,214.9830295,534.4724325,319.489403,148.6114526,170.8024392,148.6869638,Local
Coconut,Syrup,Badulla,294.6714735,530.7979589,236.1264854,80.13211547,46.18799866,189.9384867,Export
Peach,Flavored Yogurt,Kandy,413.5294109,634.6411923,221.1117813,53.46942092,188.3797245,32.73205688,Export & Online
Kiwi,Preserves,Trincomalee,131.6748402,280.6956276,149.0207874,113.1733194,192.6529501,-43.63216266,Local & Online
Pear,Fruit Bars,Puttalam,145.5529134,243.4588517,97.90593828,67.26484273,81.70836589,16.19757239,Online
Avocado,Fruit Vinegar,Anuradhapura,284.0829051,603.9931284,319.9102233,112.6115713,157.6082842,162.301939,Export
